
[00:00:00.000 --> 00:00:07.720]   With the fullness of Him who fills everything in every way be upon us for the glory of Jesus
[00:48:22.700 --> 00:48:23.700]   Come on church
[00:48:23.700 --> 00:48:26.700]   [Music]
[00:48:26.700 --> 00:48:27.700]   Yes
[00:48:27.700 --> 00:48:31.700]   [Music]
[00:48:31.700 --> 00:48:32.700]   Come on, keep it up
[00:48:32.700 --> 00:48:35.700]   [Music]
[00:48:35.700 --> 00:48:36.700]   Yes
[00:48:36.700 --> 00:48:38.700]   [Music]
[00:48:38.700 --> 00:48:39.700]   Yes
[00:48:39.700 --> 00:48:42.700]   [Music]
[00:48:42.700 --> 00:48:47.700]   [Music]
[00:48:47.700 --> 00:48:52.700]   [Music]
[00:48:52.700 --> 00:48:57.700]   [Music]
[00:48:57.700 --> 00:49:02.700]   [Music]
[00:49:02.700 --> 00:49:07.700]   [Music]
[00:49:07.700 --> 00:49:12.700]   [Music]
[00:49:12.700 --> 00:49:17.700]   [Music]
[00:49:17.700 --> 00:49:22.700]   [Music]
[00:49:22.700 --> 00:49:24.700]   Father, just as we go from here
[00:49:24.700 --> 00:49:26.700]   [Music]
[00:49:26.700 --> 00:49:28.700]   Father, I want to pray that like
[00:49:28.700 --> 00:49:30.700]   When we wake up tomorrow morning
[00:49:30.700 --> 00:49:32.700]   [Music]
[00:49:32.700 --> 00:49:34.700]   We would just pray that simple Nehemiah prayer
[00:49:34.700 --> 00:49:37.700]   Lord, strengthen my hands for the day ahead
[00:49:37.700 --> 00:49:42.700]   Allow me to be aware of every opportunity to share your heart and your life with the people around me
[00:49:42.700 --> 00:49:46.700]   Lord, would you protect me against the opposition that's likely to come
[00:49:46.700 --> 00:49:51.700]   As I live for the gospel, the true gospel in this world
[00:49:51.700 --> 00:49:56.700]   Father, we pray that you would renew the strength of your church globally in this hour
[00:49:56.700 --> 00:50:01.700]   We pray that you would come and strengthen weary pastors
[00:50:01.700 --> 00:50:04.700]   Strengthen weary Christians
[00:50:04.700 --> 00:50:07.700]   Who maybe are in situations that are hard
[00:50:07.700 --> 00:50:09.700]   We pray for the persecuted church
[00:50:09.700 --> 00:50:12.700]   For those that feel overwhelmed
[00:50:12.700 --> 00:50:17.700]   Where living for Christ is in a country where it's really difficult to do so
[00:50:17.700 --> 00:50:21.700]   Lord, as we look to the justice conference this coming weekend
[00:50:21.700 --> 00:50:25.700]   Father, we want to pray that you would renew the strength of your church for justice
[00:50:25.700 --> 00:50:30.700]   That we would look to the vulnerable and the marginalized and stand in the gap for those
[00:50:30.700 --> 00:50:34.700]   Lord, where we felt weary in our fight for justice
[00:50:34.700 --> 00:50:36.700]   Would you strengthen us, Lord
[00:50:36.700 --> 00:50:39.700]   Strengthen our hands, Lord
[00:50:39.700 --> 00:50:41.700]   And Father, we thank you for today
[00:50:41.700 --> 00:50:47.700]   And we thank you for the ministry of your Spirit and your Word
[00:50:47.700 --> 00:50:49.700]   And we pray you would go with us
[00:50:49.700 --> 00:50:51.700]   In Jesus' name
[00:50:51.700 --> 00:50:53.700]   We have a prayer team here at the Vine
[00:50:53.700 --> 00:50:57.700]   And I want to encourage you, maybe for some of you this is a really important day today
[00:50:57.700 --> 00:51:00.700]   I'm going to invite our prayer team just to be here at the front
[00:51:00.700 --> 00:51:03.700]   If you would like to receive prayer specifically from someone
[00:51:03.700 --> 00:51:07.700]   Maybe a personal prayer just to come alongside of what it is that you've been challenged with
[00:51:07.700 --> 00:51:09.700]   We want to make that available for you
[00:51:09.700 --> 00:51:11.700]   So in the upper house you can come on down for prayer
[00:51:11.700 --> 00:51:14.700]   Anyone here in the lower house you can come forward for prayer
[00:51:14.700 --> 00:51:15.700]   Otherwise, we love you guys
[00:51:15.700 --> 00:51:16.700]   God bless
[00:51:16.700 --> 00:51:18.700]   Justice conference weekend next weekend
[00:51:18.700 --> 00:51:21.700]   In the morning we got one of our speakers
[00:51:21.700 --> 00:51:23.700]   In the afternoon we got one of our other speakers
[00:51:23.700 --> 00:51:25.700]   Next Sunday it's going to be an amazing weekend
[00:51:25.700 --> 00:51:27.700]   We hope you can join us for the conference
[00:51:27.700 --> 00:51:30.700]   If not, we'll see you on Sunday
[00:51:30.700 --> 00:51:33.700]   And we look forward to what it is that the Lord has amongst us
[00:51:33.700 --> 00:51:34.700]   Bless you guys
[00:51:34.700 --> 00:51:35.700]   Amen
[00:51:36.700 --> 00:51:41.700]   [Music]
[00:51:41.700 --> 00:51:43.700]   [MUSIC]

